Biorefinery,Zone,Biomass_type,BioH2_Production,BioH2_yield_tonne_per_tonne,BioElectricity_Production,BioElectricity_yield_MWh_per_tonne,BioGasoline_Production,BioGasoline_yield_MMBtu_per_tonne,BioJetfuel_Production,BioJetfuel_yield_MMBtu_per_tonne,BioDiesel_Production,BioDiesel_yield_MMBtu_per_tonne,BioEthanol_Production,BioEthanol_yield_MMBtu_per_tonne,Inv_Cost_per_tonne_per_hr_yr,Fixed_OM_Cost_per_tonne_per_hr_yr,Var_OM_per_tonne,Power_consumption_MWh_per_tonne,H2_consumption_tonne_per_tonne,CO2_emissions_tonne_per_tonne,CO2_capture_tonne_per_tonne,Min_capacity_tonne_per_hr,Max_capacity_tonne_per_hr,Biomass_min_consumption,Biomass_max_consumption,Ref_capacity_tonne_per_hr,Ref_CAPEX_per_yr_s1,Ref_CAPEX_per_yr_s2,Ref_CAPEX_per_yr_s3,Ref_CAPEX_per_yr_s4,Ref_CAPEX_per_yr_s5,Ref_CAPEX_per_yr_s6,Ref_CAPEX_per_yr_s7,Ref_CAPEX_per_yr_s8,Ref_CAPEX_per_yr_s9,Ref_Fixed_OM_per_yr
NW_Bio_Electricity_Combustion_Plant_Wood,2,2,0,0,1,1.358,0,0,0,0,0,0,0,0,33734.89839,216240,25.44,0,0,0.009,0,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,0,0,0,0,0,0,878512.979,18020000
SW_Bio_Electricity_Combustion_Plant_Wood,3,2,0,0,1,1.358,0,0,0,0,0,0,0,0,33734.89839,216240,25.44,0,0,0.009,0,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,0,0,0,0,0,0,878512.979,18020000
TX_Bio_Electricity_Combustion_Plant_Wood,4,2,0,0,1,1.358,0,0,0,0,0,0,0,0,33734.89839,216240,25.44,0,0,0.009,0,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,0,0,0,0,0,0,878512.979,18020000
NCEN_Bio_Electricity_Combustion_Plant_Wood,5,2,0,0,1,1.358,0,0,0,0,0,0,0,0,33734.89839,216240,25.44,0,0,0.009,0,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,0,0,0,0,0,0,878512.979,18020000
CEN_Bio_Electricity_Combustion_Plant_Wood,6,2,0,0,1,1.358,0,0,0,0,0,0,0,0,33734.89839,216240,25.44,0,0,0.009,0,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,0,0,0,0,0,0,878512.979,18020000
SE_Bio_Electricity_Combustion_Plant_Wood,7,2,0,0,1,1.358,0,0,0,0,0,0,0,0,33734.89839,216240,25.44,0,0,0.009,0,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,0,0,0,0,0,0,878512.979,18020000
MIDAT_Bio_Electricity_Combustion_Plant_Wood,8,2,0,0,1,1.358,0,0,0,0,0,0,0,0,33734.89839,216240,25.44,0,0,0.009,0,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,0,0,0,0,0,0,878512.979,18020000
NE_Bio_Electricity_Combustion_Plant_Wood,9,2,0,0,1,1.358,0,0,0,0,0,0,0,0,33734.89839,216240,25.44,0,0,0.009,0,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,0,0,0,0,0,0,878512.979,18020000
CA_Bio_Hydrogen_Herb,1,1,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
NW_Bio_Hydrogen_Herb,2,1,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
SW_Bio_Hydrogen_Herb,3,1,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
TX_Bio_Hydrogen_Herb,4,1,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
NCEN_Bio_Hydrogen_Herb,5,1,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
CEN_Bio_Hydrogen_Herb,6,1,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
SE_Bio_Hydrogen_Herb,7,1,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
MIDAT_Bio_Hydrogen_Herb,8,1,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
NE_Bio_Hydrogen_Herb,9,1,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
CA_Bio_Hydrogen_Wood,1,2,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
NW_Bio_Hydrogen_Wood,2,2,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
SW_Bio_Hydrogen_Wood,3,2,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
TX_Bio_Hydrogen_Wood,4,2,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
NCEN_Bio_Hydrogen_Wood,5,2,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
CEN_Bio_Hydrogen_Wood,6,2,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
SE_Bio_Hydrogen_Wood,7,2,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
MIDAT_Bio_Hydrogen_Wood,8,2,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
NE_Bio_Hydrogen_Wood,9,2,1,0.089952333,0,0,0,0,0,0,0,0,0,0,148000,216000,25.44,0,0,0.009,0,0,100000,0.85,0.9,83.33333333,12325211.72,761377.9152,1170000,676780.369,0,0,8986862.4,0,299000,18000000
CA_Bio_Electricity_Combustion_Plant_Herb_wCCS_85pct,1,1,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
NW_Bio_Electricity_Combustion_Plant_Herb_wCCS_85pct,2,1,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
SW_Bio_Electricity_Combustion_Plant_Herb_wCCS_85pct,3,1,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
TX_Bio_Electricity_Combustion_Plant_Herb_wCCS_85pct,4,1,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
NCEN_Bio_Electricity_Combustion_Plant_Herb_wCCS_85pct,5,1,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
CEN_Bio_Electricity_Combustion_Plant_Herb_wCCS_85pct,6,1,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
SE_Bio_Electricity_Combustion_Plant_Herb_wCCS_85pct,7,1,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
MIDAT_Bio_Electricity_Combustion_Plant_Herb_wCCS_85pct,8,1,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
NE_Bio_Electricity_Combustion_Plant_Herb_wCCS_85pct,9,1,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
CA_Bio_Electricity_Combustion_Plant_Wood_wCCS_85pct,1,2,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
NW_Bio_Electricity_Combustion_Plant_Wood_wCCS_85pct,2,2,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
SW_Bio_Electricity_Combustion_Plant_Wood_wCCS_85pct,3,2,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
TX_Bio_Electricity_Combustion_Plant_Wood_wCCS_85pct,4,2,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
NCEN_Bio_Electricity_Combustion_Plant_Wood_wCCS_85pct,5,2,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
CEN_Bio_Electricity_Combustion_Plant_Wood_wCCS_85pct,6,2,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
SE_Bio_Electricity_Combustion_Plant_Wood_wCCS_85pct,7,2,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
MIDAT_Bio_Electricity_Combustion_Plant_Wood_wCCS_85pct,8,2,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
NE_Bio_Electricity_Combustion_Plant_Wood_wCCS_85pct,9,2,0,0,1,0.724,0,0,0,0,0,0,0,0,137594.655,216240,30.846,0,0,0.009,1.38,0,100000,0.6,0.9,83.33333333,761377.9152,1171350.639,8654979.719,0,0,0,0,0,878512.979,18000000
CA_Bio_Hydrogen_Herb_wCCS_92pct,1,1,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
NW_Bio_Hydrogen_Herb_wCCS_92pct,2,1,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
SW_Bio_Hydrogen_Herb_wCCS_92pct,3,1,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
TX_Bio_Hydrogen_Herb_wCCS_92pct,4,1,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
NCEN_Bio_Hydrogen_Herb_wCCS_92pct,5,1,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
CEN_Bio_Hydrogen_Herb_wCCS_92pct,6,1,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
SE_Bio_Hydrogen_Herb_wCCS_92pct,7,1,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
MIDAT_Bio_Hydrogen_Herb_wCCS_92pct,8,1,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
NE_Bio_Hydrogen_Herb_wCCS_92pct,9,1,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
CA_Bio_Hydrogen_Wood_wCCS_92pct,1,2,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
NW_Bio_Hydrogen_Wood_wCCS_92pct,2,2,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
SW_Bio_Hydrogen_Wood_wCCS_92pct,3,2,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
TX_Bio_Hydrogen_Wood_wCCS_92pct,4,2,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
NCEN_Bio_Hydrogen_Wood_wCCS_92pct,5,2,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
CEN_Bio_Hydrogen_Wood_wCCS_92pct,6,2,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
SE_Bio_Hydrogen_Wood_wCCS_92pct,7,2,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
MIDAT_Bio_Hydrogen_Wood_wCCS_92pct,8,2,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
NE_Bio_Hydrogen_Wood_wCCS_92pct,9,2,1,0.061216633,0,0,0,0,0,0,0,0,0,0,194678.4762,216240,31.058,0,0,0.009,1.56,0,100000,0.85,0.9,83.33333333,761377.9152,1171350.639,4860000,0,0,8520000,0,299345.1632,592000,18000000
