,Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1
MA,z1,1,1,-1,0,0,0,0,0,0,0,0,2950,MA_to_CT,123.0584,0.012305837,2950,12060,0.95,0,0
CT,z2,2,1,0,-1,0,0,0,0,0,0,0,2000,MA_to_ME,196.5385,0.019653847,2000,19261,0.95,0,0
ME,z3,3,1,0,0,0,-1,0,0,0,0,0,2001,MA_to_ME,196.5385,0.019653847,2000,19261,0.95,0,0
MA,z4,4,0,0,1,-1,0,0,0,0,0,0,2002,MA_to_ME,196.5385,0.019653847,2000,19261,0.95,0,0
MB,z5,5,0,0,0,1,-1,0,0,0,0,0,2003,MA_to_ME,196.5385,0.019653847,2000,19261,0.95,0,0
MC,z6,6,0,0,0,0,1,-1,0,0,0,0,2004,MA_to_ME,196.5385,0.019653847,2000,19261,0.95,0,0
MD,z7,7,0,0,0,0,0,1,-1,0,0,0,2005,MA_to_ME,196.5385,0.019653847,2000,19261,0.95,0,0
MF,z8,8,0,0,0,0,0,0,1,-1,0,0,2006,MA_to_ME,196.5385,0.019653847,2000,19261,0.95,0,0
MG,z9,9,0,0,1,0,0,0,0,0,-1,0,2007,MA_to_ME,196.5385,0.019653847,2000,19261,0.95,0,0
MH,z10,10,0,0,0,0,1,0,0,0,0,-1,2008,MA_to_ME,196.5385,0.019653847,2000,19261,0.95,0,0
