Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9,Load_H2_tonne_per_hr_z10,
50000000,1,1,0,1,168,1,1,1.62,9.51,3.58,21.75594727,21.76377357,5.39871663,21.42746937,20.493247,5.631011242,16.06215923,11.93308244
,,,,,,,2,1.22,7.17,2.7,8.735720386,11.49574323,11.38471254,19.62470501,10.24444388,4.322249034,15.27939333,10.21809953
,,,,,,,3,1.75,10.29,3.88,1.791245873,19.22039541,19.38395948,18.74280525,4.419692899,7.792093641,14.14389721,10.34772112
,,,,,,,4,4,23.55,8.87,15.32025886,15.99791684,7.225380263,18.55682081,18.66797123,10.65841389,2.725098471,9.672268494
,,,,,,,5,8.24,48.5,18.27,19.1331566,12.92559844,0.456032103,7.479770819,7.408822485,7.61486959,20.8826807,5.439855373
,,,,,,,6,13.41,78.92,29.72,11.6507547,19.40845575,18.38304788,7.94176027,6.202265341,19.04918817,18.7383598,12.06528429
,,,,,,,7,16.79,98.8,37.21,18.11427835,19.52945544,0.061535804,17.17099119,2.541309667,6.309571786,21.00757723,20.12344172
,,,,,,,8,19.24,113.23,42.64,2.499639669,14.56483529,14.82504275,10.36153905,13.00294282,1.477995171,22.51246401,18.65774102
,,,,,,,9,20.24,119.08,44.84,20.21642964,5.535726761,0.67192916,20.09636096,18.97352488,4.567657248,22.23055556,8.193147981
,,,,,,,10,21.43,126.1,47.49,9.459263593,12.3095946,1.877630999,2.006720917,8.381969854,11.24070242,14.67960447,6.863646825
,,,,,,,11,25.41,149.49,56.3,20.26817201,12.68531571,8.203224406,21.19532894,12.11599283,9.036556394,20.90756673,9.699577532
,,,,,,,12,27.06,159.24,59.97,11.05656941,11.06047891,19.09609802,19.09535011,10.74836792,5.923161762,16.74018076,10.12051333
,,,,,,,13,27.86,163.92,61.73,3.770183824,19.56217112,21.97138808,16.33897565,22.58377063,14.50028846,8.778315775,19.62207462
,,,,,,,14,27.33,160.8,60.55,0.43671477,18.00494747,14.40407922,20.0922258,5.490818515,6.125391564,12.48202859,1.558229787
,,,,,,,15,27.06,159.24,59.97,4.677942076,5.230675643,12.88235594,12.64966434,1.286397348,2.279328929,2.658114944,12.31168006
,,,,,,,16,25.94,152.61,57.47,22.73615932,12.56215763,0.997289608,1.188648665,16.93878462,16.14434247,18.3603879,14.487771
,,,,,,,17,24.61,144.81,54.53,19.83584252,11.21837446,6.39538492,9.772579608,15.42994757,7.883561298,0.500079159,11.26732989
,,,,,,,18,21.76,128.04,48.22,21.15587,8.989935803,8.05410767,1.489105041,0.481527716,17.86883278,7.745642083,5.387627508
,,,,,,,19,18.12,106.6,40.14,18.94854861,10.56090665,11.18807503,5.839464222,9.056181443,12.90704026,0.976358272,10.5729437
,,,,,,,20,13.81,81.26,30.6,11.63175798,15.28142313,10.911654,16.41837577,10.03207629,20.50255898,13.0667186,6.942773659
,,,,,,,21,10.5,61.76,23.26,2.07420855,19.52330535,11.12885798,22.29620385,7.056621407,11.38565672,0.784376447,16.08100749
,,,,,,,22,7.32,43.05,16.21,10.55811531,3.335438581,15.17872732,5.876020141,1.338503703,1.495982403,6.517503641,9.443298521
,,,,,,,23,4.53,26.67,10.04,13.54006847,2.497872855,7.444176382,6.107944586,17.41627239,4.130338136,6.449215646,14.02958351
,,,,,,,24,2.68,15.75,5.93,17.8355211,19.41724488,7.619999758,19.55310388,19.86348335,15.03567346,0.83743859,7.218577146
,,,,,,,25,2.49,14.67,5.53,12.75682272,22.1771592,21.73206986,22.902882,18.60479795,18.4719743,16.07042739,22.16084285
,,,,,,,26,1.8,10.6,3.99,22.90676293,9.360969079,10.79719727,3.295514927,20.0178665,5.605956293,9.10478007,20.27455239
,,,,,,,27,1.66,9.78,3.68,18.97208106,13.16830303,6.53979442,5.186110142,12.54213303,18.20862463,18.64275913,6.897632345
,,,,,,,28,2.46,14.47,5.45,18.36156182,16.42734475,7.687502371,0.171833543,4.822086574,12.04730241,8.618386959,21.41061528
,,,,,,,29,4.43,26.09,9.82,13.68210189,19.85421789,9.454157181,5.839119637,18.60941447,18.45610743,7.925246251,14.29604005
,,,,,,,30,7.27,42.8,16.12,15.32501431,19.99543467,1.592792029,11.60559357,11.16056231,8.307469681,11.15343192,5.33902964
,,,,,,,31,10.98,64.61,24.33,14.9761046,21.99784322,15.03893903,6.414930622,14.62666411,3.116934549,6.579903092,21.75019041
,,,,,,,32,15,88.25,33.23,16.54551813,16.04421054,0.849350759,14.26525417,16.37249333,3.064762331,21.29741166,7.467302782
,,,,,,,33,18.95,111.48,41.98,22.5295339,12.01134013,0.989940433,15.99966973,15.16968306,17.01657851,10.16831113,13.07214373
,,,,,,,34,21.02,123.71,46.59,13.94897068,1.214713729,6.415691245,12.23313274,9.218995755,15.47329236,22.54639849,19.84478426
,,,,,,,35,21.68,127.58,48.05,15.45597151,9.739299974,17.95907828,15.7124386,2.919442007,18.25041091,5.108609232,14.84359647
,,,,,,,36,22.62,133.08,50.12,9.864812655,22.36904065,13.19795568,12.51258717,0.083759236,18.2320424,21.44001786,21.9663834
,,,,,,,37,24.07,141.64,53.34,21.4479402,20.76370667,7.035011287,13.88930215,2.776157593,19.01897971,12.95988531,14.68796885
