Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster
Nuclear_1,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,462800,0,0,100888.6719,0,0,2.314453125,0,10.461,uranium,1000,208,0,24,24,0.17,0.17,0,0.5,0,1,1,0,0,0,0,1,0.5,0.1,0,0,2,0,0,0,1,Nuclear,0.93,0,0,1,1
Hydro_Res_1,1,0,0,0,0,2,0,0,0,-1,332.4,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0.1,0,1,1,0,0,0,0,1,1,1,0,0,7,1,0,0,1,Hydro_Res,0.8,1,1,1,1
Hydro_RoR_1,1,0,0,0,0,3,0,0,0,-1,381.2,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Hydro_RoR,0.93,0,0,1,1
PV_1_0,1,0,0,0,0,0,1,0,1,1,0,0,0,2192850.95,-1,-1,0,0,0,95127.25471,0,0,11152.63471,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,1,0,1,PV,0.8,1,1,1,1
Wind_1_0,1,0,0,0,0,0,1,0,3,1,0,0,0,56513.0141,-1,-1,0,0,0,103706.7796,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,0,0,0,1,Wind,0.8,1,1,1,1
Wind_1_1,1,0,0,0,0,0,1,0,0,1,0,0,0,42243.3745,-1,-1,0,0,0,109797.1083,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Wind,0.93,0,0,1,1
Wind_1_2,1,0,0,0,0,0,1,0,0,1,0,0,0,9175.08342,-1,-1,0,0,0,112017.4478,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,0,0,1,Wind,0.8,1,1,1,1
Nuclear_2,2,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,462800,0,0,100888.6719,0,0,2.314453125,0,10.461,uranium,1000,208,0,24,24,0.17,0.17,0,0.5,0,1,1,0,0,0,0,1,0.5,0.1,0,0,12,0,0,1,0,Nuclear,0.95,0,0,2,2
Hydro_Res_2,2,0,0,0,0,2,0,0,0,-1,142.1,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0.1,0,1,1,0,0,0,0,1,1,1,0,0,12,0,0,1,0,Hydro_Res,0.95,0,0,2,2
Hydro_RoR_2,2,0,0,0,0,3,0,0,0,-1,974.3,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Hydro_RoR,0.95,0,0,2,2
PV_2_0,2,0,0,0,0,0,1,0,1,1,0,0,0,1540315.8,-1,-1,0,0,0,86483.1649,0,0,11152.63471,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,PV,0.93,0,0,2,2
Wind_2_0,2,0,0,0,0,0,1,0,3,1,0,0,0,37312.0513,-1,-1,0,0,0,95579.76568,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,1,0,0,1,Wind,0.8,1,1,2,2
Wind_2_1,2,0,0,0,0,0,1,0,0,1,0,0,0,28128.7032,-1,-1,0,0,0,100282.3022,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Wind,0.93,0,0,2,2
Wind_2_2,2,0,0,0,0,0,1,0,0,1,0,0,0,10833.5787,-1,-1,0,0,0,101174.5651,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,1,0,1,Wind,0.8,1,1,2,2
Nuclear_3,3,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,462800,0,0,100888.6719,0,0,2.314453125,0,10.461,uranium,1000,208,0,24,24,0.17,0.17,0,0.5,0,1,1,0,0,0,0,1,0.5,0.1,0,0,7,0,0,0,1,Nuclear,0.8,1,1,3,3
Hydro_Res_3,3,0,0,0,0,2,0,0,0,-1,67.7,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0.1,0,1,1,0,0,0,0,1,1,1,0,0,2,0,0,0,1,Hydro_Res,0.93,0,0,3,3
Hydro_RoR_3,3,0,0,0,0,3,0,0,0,-1,50.8,0,0,0,-1,-1,0,0,0,0,0,0,41000,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0,0,0,1,Hydro_RoR,0.8,1,1,3,3
PV_3_0,3,0,0,0,0,0,1,0,1,1,0,0,0,225447.513,-1,-1,0,0,0,79197.38331,0,0,11152.63471,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,PV,0.95,0,0,3,3
Wind_3_0,3,0,0,0,0,0,1,0,3,1,0,0,0,5965.66383,-1,-1,0,0,0,90947.92614,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Wind,0.95,0,0,3,3
Wind_3_1,3,0,0,0,0,0,1,0,0,1,0,0,0,3626.72114,-1,-1,0,0,0,90761.34042,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,12,0,0,1,0,Wind,0.95,0,0,3,3
Wind_3_2,3,0,0,0,0,0,1,0,0,1,0,0,0,1552.6538,-1,-1,0,0,0,90742.21604,0,0,34568.125,0,0,0,0,0,none,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,Wind,0.93,0,0,3,3
