,Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,z7,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1
MA,z1,1,-1,1,0,0,0,0,0,2000,1,196.9746679,0.031720853,30000,23920.76894,0.95,0,0
CT,z2,2,0,-1,1,0,0,0,0,2950,2,123.6528672,0.019916629,30000,15019.17607,0.95,0,0
ME,z3,3,0,0,-1,1,0,0,0,760,3,61.51574801,0.009884415,30000,7453.86037,0.95,0,0
MB,z4,4,0,0,0,-1,1,0,0,1528,4,134.2161775,0.021626266,30000,16308.41759,0.95,0,0
MC,z5,5,0,0,1,0,-1,0,0,600,5,98.17664834,0.015783722,30000,11902.54113,0.95,0,0
MD,z6,6,0,1,0,0,-1,0,0,800,6,111.2254434,0.017904757,30000,13502.01881,0.95,0,0
MF,z7,7,0,0,0,0,-1,1,0,5400,7,115.5750417,0.01860922,30000,14033.2562,0.95,0,0
,,8,0,1,0,0,0,-1,0,150,8,211.2662053,0.034017917,30000,25652.98998,0.95,0,0
,,9,0,0,0,0,0,-1,1,2600,9,0,0.024,0,100000,0.95,0,0
,,10,0,-1,0,0,0,0,1,1650,10,0,0.024,0,100000,0.95,0,0
,,11,-1,0,0,0,0,0,1,800,11,0,0.024,0,100000,0.95,0,0
