Names,Peak demand,Scale factor (multiples of representative networks),Share of zonal demand,Network_zones,DistrZones,CO_2_Max_ton_MWh,CO_2_Max_Mtons,CO_2_Import_ton_MWh,CO_2_Export_ton_MWh,RPS,CES,Share_in_MV,DistrLossFact_LV_Net_Quad,DistrLossFact_MV_Net_Linear,DistrLossFact_LV_Total_Linear,Predicted Average Loss at Peak,Assumed Distr. Headroom,Distr_Max_Inject,Distr_Max_Withdraw,Distr_Inject_Max_Reinforcement_MW,Distr_Withdraw_Max_Reinforcement_MW,Distr_MV_Reinforcement_Cost_per_MW_yr,Distr_LV_Reinforcement_Cost_per_MW_yr,DistrMarginFact_LV_Linear,DistrMarginFact_LV_Quad,DistrMarginFact_MV_Linear,DistrMargin_MV_Max,DistrMargin_MV_DiscountFact,Network_Lines,z1,z2,z3,z4,z5,z6,z7,Line_Loss_Percentage,Line_Max_Flow_MW,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,Line_Voltage_kV,Line_Resistance_ohms,Line_X_ohms,Line_R_ohms,Thetha_max,Peak_Withdrawal_Hours,Peak_Injection_Hours,After_Tax_WACC,LineDistance_km
zone 1,10000,0,0,z1,0,0.01,0,0,0,0,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,1,-1,1,0,0,0,0,0,0.031720853,2000,30000,38488.51722,230,1.234,1.234,1.234,1.5,All,all,0.071,317
zone 2,10000,0,0,z2,0,0.01,0,0,0,0,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,2,0,-1,1,0,0,0,0,0.019916629,2950,30000,24165.8543,230,1.234,1.234,1.234,1.5,All,all,0.071,199
zone 3,10000,0,0,z3,0,0.01,0,0,0,0,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,3,0,0,-1,1,0,0,0,0.009884415,760,30000,11993.26134,230,1.234,1.234,1.234,1.5,All,all,0.071,99
zone 4,10000,0,0,z4,0,0.01,0,0,0,0,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,4,0,0,0,-1,1,0,0,0.021626266,1528,30000,26240.2439,230,1.234,1.234,1.234,1.5,All,all,0.071,216
zone 5,10000,0,0,z5,0,0.01,0,0,0,0,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,5,0,0,1,0,-1,0,0,0.015783722,600,30000,19151.18868,230,1.234,1.234,1.234,1.5,All,all,0.071,158
zone 6,10000,0,0,z6,0,0.01,0,0,0,0,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,6,0,1,0,0,-1,0,0,0.017904757,800,30000,21724.74827,230,1.234,1.234,1.234,1.5,All,all,0.071,179
zone 7,10000,0,0,z7,0,0.01,0,0,0,0,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,7,0,0,0,0,-1,1,0,0.01860922,5400,30000,22579.50923,230,1.234,1.234,1.234,1.5,All,all,0.071,186
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,1,0,0,0,-1,0,0.034017917,150,30000,41275.66088,230,1.234,1.234,1.234,1.5,All,all,0.071,340
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,-1,1,0.024,2600,0,100000,230,1.234,1.234,1.234,1.5,All,all,0.071,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,-1,0,0,0,0,1,0.024,1650,0,100000,230,1.234,1.234,1.234,1.5,All,all,0.071,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,-1,0,0,0,0,0,1,0.024,800,0,100000,230,1.234,1.234,1.234,1.5,All,all,0.071,0
