Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9,Load_H2_tonne_per_hr_z10
50000000,1,1,0,1,168,1,1,10,10,10,10,10,10,10,10,10,10
,,,,,,,2,10,10,10,10,10,10,10,10,10,10
,,,,,,,3,10,10,10,10,10,10,10,10,10,10
,,,,,,,4,10,10,10,10,10,10,10,10,10,10
,,,,,,,5,10,10,10,10,10,10,10,10,10,10
,,,,,,,6,10,10,10,10,10,10,10,10,10,10
,,,,,,,7,10,10,10,10,10,10,10,10,10,10
,,,,,,,8,10,10,10,10,10,10,10,10,10,10
,,,,,,,9,10,10,10,10,10,10,10,10,10,10
,,,,,,,10,10,10,10,10,10,10,10,10,10,10
,,,,,,,11,10,10,10,10,10,10,10,10,10,10
,,,,,,,12,10,10,10,10,10,10,10,10,10,10
,,,,,,,13,10,10,10,10,10,10,10,10,10,10
,,,,,,,14,10,10,10,10,10,10,10,10,10,10
,,,,,,,15,10,10,10,10,10,10,10,10,10,10
,,,,,,,16,10,10,10,10,10,10,10,10,10,10
,,,,,,,17,10,10,10,10,10,10,10,10,10,10
,,,,,,,18,10,10,10,10,10,10,10,10,10,10
,,,,,,,19,10,10,10,10,10,10,10,10,10,10
,,,,,,,20,10,10,10,10,10,10,10,10,10,10
,,,,,,,21,10,10,10,10,10,10,10,10,10,10
,,,,,,,22,10,10,10,10,10,10,10,10,10,10
,,,,,,,23,10,10,10,10,10,10,10,10,10,10
,,,,,,,24,10,10,10,10,10,10,10,10,10,10
,,,,,,,25,10,10,10,10,10,10,10,10,10,10
,,,,,,,26,10,10,10,10,10,10,10,10,10,10
,,,,,,,27,10,10,10,10,10,10,10,10,10,10
,,,,,,,28,10,10,10,10,10,10,10,10,10,10
,,,,,,,29,10,10,10,10,10,10,10,10,10,10
,,,,,,,30,10,10,10,10,10,10,10,10,10,10
,,,,,,,31,10,10,10,10,10,10,10,10,10,10
,,,,,,,32,10,10,10,10,10,10,10,10,10,10
,,,,,,,33,10,10,10,10,10,10,10,10,10,10
,,,,,,,34,10,10,10,10,10,10,10,10,10,10
,,,,,,,35,10,10,10,10,10,10,10,10,10,10
,,,,,,,36,10,10,10,10,10,10,10,10,10,10
,,,,,,,37,10,10,10,10,10,10,10,10,10,10
,,,,,,,38,10,10,10,10,10,10,10,10,10,10
,,,,,,,39,10,10,10,10,10,10,10,10,10,10
,,,,,,,40,10,10,10,10,10,10,10,10,10,10
,,,,,,,41,10,10,10,10,10,10,10,10,10,10
,,,,,,,42,10,10,10,10,10,10,10,10,10,10
,,,,,,,43,10,10,10,10,10,10,10,10,10,10
,,,,,,,44,10,10,10,10,10,10,10,10,10,10
