H2_Resource,Zone,H2_FLEX,H2_LIQ,H2_GEN_TYPE,H2_STOR,LDS,Blue_H2,Grey_H2,New_Build,etaP2G,etaFuel_MMBtu_p_MWh,Inv_Cost_p_MW_yr,Inv_Cost_Charge_p_MW_yr,Inv_Cost_Energy_p_MWh_yr,Fixed_OM_Cost_p_MW_yr,Fixed_OM_Cost_Charge_p_MW_yr,Fixed_OM_Cost_Energy_p_MWh_yr,Var_OM_Cost_p_MWh,Var_OM_Cost_Charge_p_MWh,Fuel,Max_Cap_MW,Min_Cap_MW,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Max_Energy_Cap_MWh,Min_Energy_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Energy_Cap_MWh,Cap_Size_MW,Ramp_Up_Percentage,Ramp_Down_Percentage,H2Gen_min_output,H2Stor_min_level,H2Stor_max_level,H2Stor_self_discharge_rate_p_hour,H2Stor_Charge_MWh_p_MWh,H2Stor_Charge_MMBtu_p_MWh,H2Stor_eff_charge,H2Stor_eff_discharge,Start_Cost_p_MW,Up_Time,Down_Time,Flexible_Demand_Energy_Eff,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,CCS_Rate
Small_Electrolyzer_1,1,0,0,2,0,0,0,0,0,1.142712036566785,0.0,51633.64652107669,0.0,0.0,774.5048247841544,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,1.0,1.0,0.1,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Small_Electrolyzer_2,2,0,0,2,0,0,0,0,1,1.142712036566785,0.0,51633.64652107669,0.0,0.0,774.5048247841544,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,1.0,1.0,0.1,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Small_Electrolyzer_3,3,0,0,2,0,0,0,0,1,1.142712036566785,0.0,51633.64652107669,0.0,0.0,774.5048247841544,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,78.76,1.0,1.0,0.1,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Flex_Demand_1,2,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05078720162519045,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,157.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.9,3,3,0.0
Large_SMR_1,1,0,0,2,0,0,0,1,0,0.0,4.320415693245302,77009.06541391568,0.0,0.0,3619.4260741493144,0.0,0.0,0.0,0.0,MA_NG,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,360.99646,0.5,0.5,0.9,0.0,0,0.0,0.0,0.0,0,0,0.12696800406297612,3,3,0.0,0,0,0.0
Large_SMR_2,2,0,0,2,0,0,0,1,1,0.0,4.320415693245302,77009.06541391568,0.0,0.0,3619.4260741493144,0.0,0.0,0.0,0.0,CT_NG,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,360.99646,0.5,0.5,0.9,0.0,0,0.0,0.0,0.0,0,0,0.12696800406297612,3,3,0.0,0,0,0.0
Large_SMR_3,3,0,0,2,0,0,0,1,1,0.0,4.320415693245302,77009.06541391568,0.0,0.0,3619.4260741493144,0.0,0.0,0.0,0.0,ME_NG,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,360.99646,0.5,0.5,0.9,0.0,0,0.0,0.0,0.0,0,0,0.12696800406297612,3,3,0.0,0,0,0.0
Large_SMR_wCCS_90pct_1,1,0,0,2,0,0,1,0,0,0.0,4.748156678517013,108311.31142712037,0.0,0.0,3249.339342305739,0.0,0.0,0.0,0.0,MA_NG,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,360.99646,0.5,0.5,0.9,0.0,0,0.0,0.0,0.0,0,0,2.5393600812595225,3,3,0.0,0,0,0.9
Large_SMR_wCCS_90pct_2,2,0,0,2,0,0,1,0,1,0.0,4.748156678517013,108311.31142712037,0.0,0.0,3249.339342305739,0.0,0.0,0.0,0.0,CT_NG,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,360.99646,0.5,0.5,0.9,0.0,0,0.0,0.0,0.0,0,0,2.5393600812595225,3,3,0.0,0,0,0.9
Large_SMR_wCCS_90pct_3,3,0,0,2,0,0,1,0,1,0.0,4.748156678517013,108311.31142712037,0.0,0.0,3249.339342305739,0.0,0.0,0.0,0.0,ME_NG,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,360.99646,0.5,0.5,0.9,0.0,0,0.0,0.0,0.0,0,0,2.5393600812595225,3,3,0.0,0,0,0.9
Above_ground_storage_1,1,0,0,0,1,1,0,0,1,0.0,0.0,0.0,1269.6800406297614,888.7760284408329,0.0,126.96800406297614,88.87760284408328,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,1,0.0,0.05078720162519045,0.0,1,1,0.0,0,0,0.0,0,0,0.0
Above_ground_storage_2,2,0,0,0,1,1,0,0,1,0.0,0.0,0.0,1269.6800406297614,888.7760284408329,0.0,126.96800406297614,88.87760284408328,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,1,0.0,0.05078720162519045,0.0,1,1,0.0,0,0,0.0,0,0,0.0
Above_ground_storage_3,3,0,0,0,1,1,0,0,1,0.0,0.0,0.0,1269.6800406297614,888.7760284408329,0.0,126.96800406297614,88.87760284408328,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,1,0.0,0.05078720162519045,0.0,1,1,0.0,0,0,0.0,0,0,0.0
Liquefier_1,1,0,0,0,0,0,0,0,1,0.27932960893854747,0.0,114271.20365667851,0.0,0.0,253.93600812595227,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0,0.0,0.0,0.0,0,0,0.0,3,3,0.0,0,0,0.0
Liquefier_2,2,0,2,0,0,0,0,0,1,0.27932960893854747,0.0,114271.20365667851,0.0,0.0,253.93600812595227,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0,0.0,0.0,0.0,0,0,0.0,3,3,0.0,0,0,0.0
Liquefier_3,3,0,2,0,0,0,0,0,1,0.27932960893854747,0.0,114271.20365667851,0.0,0.0,253.93600812595227,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0,0,0.0,0.0,0.0,0,0,0.0,3,3,0.0,0,0,0.0
Liquid_tank_1,1,0,0,0,2,1,0,0,1,0.0,0.0,0.0,0.0,253.93600812595227,0.0,0.0,253.93600812595227,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,1,0.01,0.0,0.0,1,1,0.0,0,0,0.0,0,0,0.0
Liquid_tank_2,2,0,0,0,2,1,0,0,1,0.0,0.0,0.0,0.0,253.93600812595227,0.0,0.0,253.93600812595227,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,1,0.01,0.0,0.0,1,1,0.0,0,0,0.0,0,0,0.0
Liquid_tank_3,3,0,0,0,2,1,0,0,1,0.0,0.0,0.0,0.0,253.93600812595227,0.0,0.0,253.93600812595227,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.3,1,0.01,0.0,0.0,1,1,0.0,0,0,0.0,0,0,0.0
Evaporator_1,1,0,4,0,0,0,0,0,0,0.0025393600812595226,0.0,6348.400203148806,0.0,0.0,25.393600812595228,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.1,0.0,0,0.0,0.0,0.0,0,0,0.0,1,1,0.0,0,0,0.0
Evaporator_2,2,0,4,0,0,0,0,0,0,0.0025393600812595226,0.0,6348.400203148806,0.0,0.0,25.393600812595228,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.1,0.0,0,0.0,0.0,0.0,0,0,0.0,1,1,0.0,0,0,0.0
Evaporator_3,3,0,4,0,0,0,0,0,0,0.0025393600812595226,0.0,6348.400203148806,0.0,0.0,25.393600812595228,0.0,0.0,0.0,0.0,None,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.1,0.0,0,0.0,0.0,0.0,0,0,0.0,1,1,0.0,0,0,0.0
