Time_Index,CT_NG,ME_NG,MA_NG,CT_NG_CCS_90pct,ME_NG_CCS_90pct,MA_NG_CCS_90pct,None,MA_NG_CCS
0,0.05291,0.05291,0.05291,0.05291,0.05291,0.05291,0,0.05291
1,3,3,3,3,3,3,0,3
2,3,3,3,3,3,3,0,3
3,3,3,3,3,3,3,0,3
4,3,3,3,3,3,3,0,3
5,3,3,3,3,3,3,0,3
6,3,3,3,3,3,3,0,3
7,3,3,3,3,3,3,0,3
8,3,3,3,3,3,3,0,3
9,3,3,3,3,3,3,0,3
10,3,3,3,3,3,3,0,3
11,3,3,3,3,3,3,0,3
12,3,3,3,3,3,3,0,3
13,3,3,3,3,3,3,0,3
14,3,3,3,3,3,3,0,3
15,3,3,3,3,3,3,0,3
16,3,3,3,3,3,3,0,3
17,3,3,3,3,3,3,0,3
18,3,3,3,3,3,3,0,3
19,3,3,3,3,3,3,0,3
20,3,3,3,3,3,3,0,3
21,3,3,3,3,3,3,0,3
22,3,3,3,3,3,3,0,3
23,3,3,3,3,3,3,0,3
24,3,3,3,3,3,3,0,3
25,3,3,3,3,3,3,0,3
26,3,3,3,3,3,3,0,3
27,3,3,3,3,3,3,0,3
28,3,3,3,3,3,3,0,3
29,3,3,3,3,3,3,0,3
30,3,3,3,3,3,3,0,3
31,3,3,3,3,3,3,0,3
32,3,3,3,3,3,3,0,3
33,3,3,3,3,3,3,0,3
34,3,3,3,3,3,3,0,3
35,3,3,3,3,3,3,0,3
36,3,3,3,3,3,3,0,3
37,3,3,3,3,3,3,0,3
38,3,3,3,3,3,3,0,3
39,3,3,3,3,3,3,0,3
40,3,3,3,3,3,3,0,3
41,3,3,3,3,3,3,0,3
42,3,3,3,3,3,3,0,3
43,3,3,3,3,3,3,0,3
44,3,3,3,3,3,3,0,3
45,3,3,3,3,3,3,0,3
46,3,3,3,3,3,3,0,3
47,3,3,3,3,3,3,0,3
48,3,3,3,3,3,3,0,3
49,3,3,3,3,3,3,0,3
50,3,3,3,3,3,3,0,3
51,3,3,3,3,3,3,0,3
52,3,3,3,3,3,3,0,3
53,3,3,3,3,3,3,0,3
54,3,3,3,3,3,3,0,3
55,3,3,3,3,3,3,0,3
56,3,3,3,3,3,3,0,3
57,3,3,3,3,3,3,0,3
58,3,3,3,3,3,3,0,3
59,3,3,3,3,3,3,0,3
60,3,3,3,3,3,3,0,3
61,3,3,3,3,3,3,0,3
62,3,3,3,3,3,3,0,3
63,3,3,3,3,3,3,0,3
64,3,3,3,3,3,3,0,3
65,3,3,3,3,3,3,0,3
66,3,3,3,3,3,3,0,3
67,3,3,3,3,3,3,0,3
68,3,3,3,3,3,3,0,3
69,3,3,3,3,3,3,0,3
70,3,3,3,3,3,3,0,3
71,3,3,3,3,3,3,0,3
72,3,3,3,3,3,3,0,3
73,3,3,3,3,3,3,0,3
74,3,3,3,3,3,3,0,3
75,3,3,3,3,3,3,0,3
76,3,3,3,3,3,3,0,3
77,3,3,3,3,3,3,0,3
78,3,3,3,3,3,3,0,3
79,3,3,3,3,3,3,0,3
80,3,3,3,3,3,3,0,3
81,3,3,3,3,3,3,0,3
82,3,3,3,3,3,3,0,3
83,3,3,3,3,3,3,0,3
84,3,3,3,3,3,3,0,3
85,3,3,3,3,3,3,0,3
86,3,3,3,3,3,3,0,3
87,3,3,3,3,3,3,0,3
88,3,3,3,3,3,3,0,3
89,3,3,3,3,3,3,0,3
90,3,3,3,3,3,3,0,3
91,3,3,3,3,3,3,0,3
92,3,3,3,3,3,3,0,3
93,3,3,3,3,3,3,0,3
94,3,3,3,3,3,3,0,3
95,3,3,3,3,3,3,0,3
96,3,3,3,3,3,3,0,3
97,3,3,3,3,3,3,0,3
98,3,3,3,3,3,3,0,3
99,3,3,3,3,3,3,0,3
100,3,3,3,3,3,3,0,3
101,3,3,3,3,3,3,0,3
102,3,3,3,3,3,3,0,3
103,3,3,3,3,3,3,0,3
104,3,3,3,3,3,3,0,3
105,3,3,3,3,3,3,0,3
106,3,3,3,3,3,3,0,3
107,3,3,3,3,3,3,0,3
108,3,3,3,3,3,3,0,3
109,3,3,3,3,3,3,0,3
110,3,3,3,3,3,3,0,3
111,3,3,3,3,3,3,0,3
112,3,3,3,3,3,3,0,3
113,3,3,3,3,3,3,0,3
114,3,3,3,3,3,3,0,3
115,3,3,3,3,3,3,0,3
116,3,3,3,3,3,3,0,3
117,3,3,3,3,3,3,0,3
118,3,3,3,3,3,3,0,3
119,3,3,3,3,3,3,0,3
120,3,3,3,3,3,3,0,3
121,3,3,3,3,3,3,0,3
122,3,3,3,3,3,3,0,3
123,3,3,3,3,3,3,0,3
124,3,3,3,3,3,3,0,3
125,3,3,3,3,3,3,0,3
126,3,3,3,3,3,3,0,3
127,3,3,3,3,3,3,0,3
128,3,3,3,3,3,3,0,3
129,3,3,3,3,3,3,0,3
130,3,3,3,3,3,3,0,3
131,3,3,3,3,3,3,0,3
132,3,3,3,3,3,3,0,3
133,3,3,3,3,3,3,0,3
134,3,3,3,3,3,3,0,3
135,3,3,3,3,3,3,0,3
136,3,3,3,3,3,3,0,3
137,3,3,3,3,3,3,0,3
138,3,3,3,3,3,3,0,3
139,3,3,3,3,3,3,0,3
140,3,3,3,3,3,3,0,3
141,3,3,3,3,3,3,0,3
142,3,3,3,3,3,3,0,3
143,3,3,3,3,3,3,0,3
144,3,3,3,3,3,3,0,3
145,3,3,3,3,3,3,0,3
146,3,3,3,3,3,3,0,3
147,3,3,3,3,3,3,0,3
148,3,3,3,3,3,3,0,3
149,3,3,3,3,3,3,0,3
150,3,3,3,3,3,3,0,3
151,3,3,3,3,3,3,0,3
152,3,3,3,3,3,3,0,3
153,3,3,3,3,3,3,0,3
154,3,3,3,3,3,3,0,3
155,3,3,3,3,3,3,0,3
156,3,3,3,3,3,3,0,3
157,3,3,3,3,3,3,0,3
158,3,3,3,3,3,3,0,3
159,3,3,3,3,3,3,0,3
160,3,3,3,3,3,3,0,3
161,3,3,3,3,3,3,0,3
162,3,3,3,3,3,3,0,3
163,3,3,3,3,3,3,0,3
164,3,3,3,3,3,3,0,3
165,3,3,3,3,3,3,0,3
166,3,3,3,3,3,3,0,3
167,3,3,3,3,3,3,0,3
168,3,3,3,3,3,3,0,3
169,3,3,3,3,3,3,0,3
170,3,3,3,3,3,3,0,3
171,3,3,3,3,3,3,0,3
172,3,3,3,3,3,3,0,3
173,3,3,3,3,3,3,0,3
174,3,3,3,3,3,3,0,3
175,3,3,3,3,3,3,0,3
176,3,3,3,3,3,3,0,3
