Time_Index,Liquid_DAC_1,Liquid_DAC_2,Liquid_DAC_3,Liquid_DAC_4,Liquid_DAC_5,Liquid_DAC_6,Liquid_DAC_7,Liquid_DAC_8,Liquid_DAC_9,Solid_DAC_1,Solid_DAC_2,Solid_DAC_3,Solid_DAC_4,Solid_DAC_5,Solid_DAC_6,Solid_DAC_7,Solid_DAC_8,Solid_DAC_9
1,1,1,1,1,1,1,1,1,1,1,0.9,0.2,1,0.9,0.2,1,0.9,0.2
2,1,1,1,1,1,1,1,1,1,1,1,0.1,1,1,0.1,1,1,0.1
3,1,0.2,1,1,0.2,1,1,0.2,1,1,1,0.2,1,1,0.2,1,1,0.2
4,1,0.2,1,1,0.2,1,1,0.2,1,1,0.1,0.2,1,0.1,0.2,1,0.1,0.2
5,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,1,0.5
6,0.5,1,1,0.5,1,1,0.5,1,1,1,0.1,0.6,1,0.1,0.6,1,0.1,0.6
7,0.1,1,1,0.1,1,1,0.1,1,1,1,1,0.8,1,1,0.8,1,1,0.8
8,0.1,1,1,0.1,1,1,0.1,1,1,1,1,0.6,1,1,0.6,1,1,0.6
9,1,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
24,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
25,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
26,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
27,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
28,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
29,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
30,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
31,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
32,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
33,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
34,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
35,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
36,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
37,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
38,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
39,1,1,1,1,1,1,1,1,1,1,0.9,1,1,0.9,1,1,0.9,1
40,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
41,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
42,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
43,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
44,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
45,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
46,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
47,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
48,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
49,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
50,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
51,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
52,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
53,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
54,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
55,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
56,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
57,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
58,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
59,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
60,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
61,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
62,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
63,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
64,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
65,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
66,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
67,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
68,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
69,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
70,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
71,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
72,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
73,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
74,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
75,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
76,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
77,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
78,1,1,1,1,1,1,1,1,1,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8
