Time_Index,elec_price_per_MWh_z1,elec_price_per_MWh_z2,elec_price_per_MWh_z3
1,0.04,0.04,0.04
2,0.04,0.04,0.04
3,0.04,0.04,0.04
4,0.04,0.04,0.04
5,0.04,0.04,0.04
6,0.04,0.04,0.04
7,0.04,0.04,0.04
8,0.04,0.04,0.04
9,0.04,0.04,0.04
10,0.04,0.04,0.04
11,0.04,0.04,0.04
12,0.04,0.04,0.04
13,0.04,0.04,0.04
14,0.04,0.04,0.04
15,0.04,0.04,0.04
16,0.04,0.04,0.04
17,0.04,0.04,0.04
18,0.04,0.04,0.04
19,0.04,0.04,0.04
20,0.04,0.04,0.04
21,0.04,0.04,0.04
22,0.04,0.04,0.04
23,0.04,0.04,0.04
24,0.04,0.04,0.04
25,0.04,0.04,0.04
26,0.04,0.04,0.04
27,0.04,0.04,0.04
28,0.04,0.04,0.04
29,0.04,0.04,0.04
30,0.04,0.04,0.04
31,0.04,0.04,0.04
32,0.04,0.04,0.04
33,0.04,0.04,0.04
34,0.04,0.04,0.04
35,0.04,0.04,0.04
36,0.04,0.04,0.04
37,0.04,0.04,0.04
38,0.04,0.04,0.04
39,0.04,0.04,0.04
40,0.04,0.04,0.04
41,0.04,0.04,0.04
42,0.04,0.04,0.04
43,0.04,0.04,0.04
44,0.04,0.04,0.04
45,0.04,0.04,0.04
46,0.04,0.04,0.04
47,0.04,0.04,0.04
48,0.04,0.04,0.04
49,0.04,0.04,0.04
50,0.04,0.04,0.04
51,0.04,0.04,0.04
52,0.04,0.04,0.04
53,0.04,0.04,0.04
54,0.04,0.04,0.04
55,0.04,0.04,0.04
56,0.04,0.04,0.04
57,0.04,0.04,0.04
58,0.04,0.04,0.04
59,0.04,0.04,0.04
60,0.04,0.04,0.04
61,0.04,0.04,0.04
62,0.04,0.04,0.04
63,0.04,0.04,0.04
64,0.04,0.04,0.04
65,0.04,0.04,0.04
66,0.04,0.04,0.04
67,0.04,0.04,0.04
68,0.04,0.04,0.04
69,0.04,0.04,0.04
70,0.04,0.04,0.04
71,0.04,0.04,0.04
72,0.04,0.04,0.04
73,0.04,0.04,0.04
74,0.04,0.04,0.04
75,0.04,0.04,0.04
76,0.04,0.04,0.04
77,0.04,0.04,0.04
78,0.04,0.04,0.04
79,0.04,0.04,0.04
80,0.04,0.04,0.04
81,0.04,0.04,0.04
82,0.04,0.04,0.04
83,0.04,0.04,0.04
84,0.04,0.04,0.04
85,0.04,0.04,0.04
86,0.04,0.04,0.04
87,0.04,0.04,0.04
88,0.04,0.04,0.04
89,0.04,0.04,0.04
90,0.04,0.04,0.04
91,0.04,0.04,0.04
92,0.04,0.04,0.04
93,0.04,0.04,0.04
94,0.04,0.04,0.04
95,0.04,0.04,0.04
96,0.04,0.04,0.04
97,0.04,0.04,0.04
98,0.04,0.04,0.04
99,0.04,0.04,0.04
100,0.04,0.04,0.04
101,0.04,0.04,0.04
102,0.04,0.04,0.04
103,0.04,0.04,0.04
104,0.04,0.04,0.04
105,0.04,0.04,0.04
106,0.04,0.04,0.04
107,0.04,0.04,0.04
108,0.04,0.04,0.04
109,0.04,0.04,0.04
110,0.04,0.04,0.04
111,0.04,0.04,0.04
112,0.04,0.04,0.04
113,0.04,0.04,0.04
114,0.04,0.04,0.04
115,0.04,0.04,0.04
116,0.04,0.04,0.04
117,0.04,0.04,0.04
118,0.04,0.04,0.04
119,0.04,0.04,0.04
120,0.04,0.04,0.04
121,0.04,0.04,0.04
122,0.04,0.04,0.04
123,0.04,0.04,0.04
124,0.04,0.04,0.04
125,0.04,0.04,0.04
126,0.04,0.04,0.04
127,0.04,0.04,0.04
128,0.04,0.04,0.04
129,0.04,0.04,0.04
130,0.04,0.04,0.04
131,0.04,0.04,0.04
132,0.04,0.04,0.04
133,0.04,0.04,0.04
134,0.04,0.04,0.04
135,0.04,0.04,0.04
136,0.04,0.04,0.04
137,0.04,0.04,0.04
138,0.04,0.04,0.04
139,0.04,0.04,0.04
140,0.04,0.04,0.04
141,0.04,0.04,0.04
142,0.04,0.04,0.04
143,0.04,0.04,0.04
144,0.04,0.04,0.04
145,0.04,0.04,0.04
146,0.04,0.04,0.04
147,0.04,0.04,0.04
148,0.04,0.04,0.04
149,0.04,0.04,0.04
150,0.04,0.04,0.04
151,0.04,0.04,0.04
152,0.04,0.04,0.04
153,0.04,0.04,0.04
154,0.04,0.04,0.04
155,0.04,0.04,0.04
156,0.04,0.04,0.04
157,0.04,0.04,0.04
158,0.04,0.04,0.04
159,0.04,0.04,0.04
160,0.04,0.04,0.04
161,0.04,0.04,0.04
162,0.04,0.04,0.04
163,0.04,0.04,0.04
164,0.04,0.04,0.04
165,0.04,0.04,0.04
166,0.04,0.04,0.04
167,0.04,0.04,0.04
168,0.04,0.04,0.04
169,0.04,0.04,0.04
170,0.04,0.04,0.04
171,0.04,0.04,0.04
172,0.04,0.04,0.04
173,0.04,0.04,0.04
174,0.04,0.04,0.04
175,0.04,0.04,0.04
176,0.04,0.04,0.04
177,0.04,0.04,0.04
178,0.04,0.04,0.04
179,0.04,0.04,0.04
180,0.04,0.04,0.04
181,0.04,0.04,0.04
182,0.04,0.04,0.04
183,0.04,0.04,0.04
184,0.04,0.04,0.04
185,0.04,0.04,0.04
186,0.04,0.04,0.04
187,0.04,0.04,0.04
188,0.04,0.04,0.04
189,0.04,0.04,0.04
190,0.04,0.04,0.04
191,0.04,0.04,0.04
192,0.04,0.04,0.04
193,0.04,0.04,0.04
194,0.04,0.04,0.04
195,0.04,0.04,0.04
196,0.04,0.04,0.04
197,0.04,0.04,0.04
198,0.04,0.04,0.04
199,0.04,0.04,0.04
200,0.04,0.04,0.04
201,0.04,0.04,0.04
202,0.04,0.04,0.04
203,0.04,0.04,0.04
204,0.04,0.04,0.04
205,0.04,0.04,0.04
206,0.04,0.04,0.04
