Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Column19,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9,Load_H2_tonne_per_hr_z10
50000000,1,1,0,1,168,8760.0,11.93308244,1,1.62,9.51,3.58,2.939721997,3.922880283,16.5412489,4.993239113,10.67706173,18.0398878,11.00071982
,,,,,,,10.21809953,2,1.22,7.17,2.7,9.159973992,5.071290676,20.14842591,21.97425133,22.8421207,7.735510759,1.87116635
,,,,,,,10.34772112,3,1.75,10.29,3.88,10.06798073,10.53086894,12.52158978,4.044883459,18.64775171,7.728117872,22.50185207
,,,,,,,9.672268494,4,4.0,23.55,8.87,1.369962254,13.05421225,7.126706309,14.36803225,16.02096053,13.07169783,3.461925522
,,,,,,,5.439855373,5,8.24,48.5,18.27,7.390781788,11.06757276,14.55014879,10.68768404,9.818719197,19.7414504,18.54621191
,,,,,,,12.06528429,6,13.41,78.92,29.72,16.9381156,7.416239139,13.99635818,16.92744761,6.959834914,7.107913553,21.10511134
,,,,,,,20.12344172,7,16.79,98.8,37.21,17.71482912,20.24954337,14.03500034,15.66852168,8.098643803,2.514828034,9.034394871
,,,,,,,18.65774102,8,19.24,113.23,42.64,5.371630883,1.65132354,9.995288894,9.550587512,6.323449595,12.96033672,18.20735891
,,,,,,,8.193147981,9,20.24,119.08,44.84,3.844437981,16.73494272,18.61753309,1.698502055,20.56015769,10.45970679,15.35387814
,,,,,,,6.863646825,10,21.43,126.1,47.49,17.40531042,19.98201854,4.070048099,8.621600679,19.23428119,16.28876765,14.99296491
,,,,,,,9.699577532,11,25.41,149.49,56.3,9.904639217,7.213921929,8.345037779,15.13731054,21.31492813,8.080445635,4.955066725
,,,,,,,10.12051333,12,27.06,159.24,59.97,5.026650656,15.97912411,17.78431265,13.79537575,0.065060696,22.65756375,4.46982482
,,,,,,,19.62207462,13,27.86,163.92,61.73,12.05846523,16.2984316,4.3171651,10.17454768,10.91772039,20.67717143,13.42296952
,,,,,,,1.558229787,14,27.33,160.8,60.55,13.54587635,11.45885681,2.862001868,5.436745665,19.58810004,12.26380339,7.706537329
