Quantity_tonne_per_hr_z1,Quantity_tonne_per_hr_z2,Quantity_tonne_per_hr_z3
2.005230365,4.096311872,5.310551712
6.862189726,10.85442397,16.31907283
14.60619201,19.94304806,27.209225
17.96702146,30.85650114,34.16617203
18.7965363,34.69008162,44.36433687
24.48746358,37.28736393,62.27761084
33.14879954,41.21311267,65.82433037
34.54654749,51.25283094,69.72978139
35.78429543,56.81182295,74.47013231
43.07957272,67.52799452,78.6959976
47.1926613,78.18058025,83.75189555
49.59877203,84.52051747,86.70200651
52.20558185,90.76321187,90.34534737
55.20136267,105.5010287,103.2050017
55.97992603,121.9498621,106.7850675
61.35012831,128.9198578,116.3158924
66.82875776,139.0357961,125.4797009
73.45721279,151.9459877,126.3375911
75.74019087,156.425057,134.3119106
76.80333687,164.2519072,141.9398223
89.36328893,171.7227185,151.065003
92.71469452,175.9847263,151.982958
95.65041062,183.2482106,153.4704925
103.9855329,188.9156298,161.5220677
108.5789323,192.1538444,169.141591
114.9981963,218.8467197,178.9129855
133.513257,219.0028881,180.9782806
136.5532579,226.8372983,187.8517584
142.5928713,227.3349037,190.5074485
154.2692502,240.0831275,194.9952169
155.3600467,244.3565268,200.3576522
160.5604107,244.8131225,214.876129
169.9974104,250.6928395,215.5375661
187.8372604,257.6545503,218.005295
196.0897419,268.3969225,222.358539
198.4518397,277.6187247,227.8831491
200.9300282,277.9075532,232.8789823
206.0282822,284.9232187,240.0366284
215.8480392,290.2728126,240.2207579
226.3307866,294.4838688,241.4504282
230.9260501,294.6028591,244.5697561
245.9987796,328.1090439,249.7788191
258.1860195,332.9782234,255.4520376
264.1346039,333.2293562,265.573361
264.5117691,336.2918296,265.898332
266.0655818,343.1320646,269.0404429
272.2954348,343.2670032,270.6856991
275.3143095,347.8352376,272.3231882
275.9680831,355.8027221,277.1122123
289.9001002,360.8546848,281.1781812
306.0741893,366.4501299,282.7570555
314.766179,374.9859513,283.3558388
317.5326782,397.7355763,285.7151405
321.8965889,399.9779588,289.5271805
322.8525503,402.5222185,290.8384559
330.1409927,408.0841102,297.3524773
342.9483493,417.0886436,303.4678966
348.834487,420.3975896,304.7312239
360.3844193,420.9495639,307.6056325
369.6221696,421.1028325,309.5558726
385.0788992,426.8658376,310.5473551
398.8643791,442.9966386,312.3453621
399.3214925,451.6285635,314.8236541
426.8366334,458.3309603,319.754866
434.0331146,467.7743806,320.7366138
436.9512256,473.2177997,324.8145957
449.1438506,477.148105,329.624746
460.9941066,494.5214177,331.4336268
484.3431363,494.6626734,333.8834398
498.3413282,502.3539637,334.9226635
507.4299523,510.4720244,336.3665992
508.4956872,513.7184202,340.4200373
508.8599074,524.3246111,344.138045
512.4502257,531.6217524,345.952518
523.8683263,538.888965,346.0147575
525.2762232,549.1424308,349.6922732
527.5629293,558.5706279,359.5262179
548.4521007,559.0102396,363.8734555
549.4264958,569.7954856,367.9101169
557.893657,578.4879932,367.9483305
568.6430712,578.57343,380.9010852
572.8029689,578.8031259,383.1324904
581.5584409,586.8032318,388.1246991
581.9842792,592.7722175,397.4757439
588.8545467,592.8112596,401.2353826
591.1470523,592.8509231,414.3011212
594.3264449,592.9836869,420.4799192
603.9785384,600.9082977,426.6880247
606.1666555,600.9464078,430.5664466
607.6421769,607.4331929,431.3728676
625.3219234,622.8982073,446.5583737
628.61896,628.4926168,451.5159934
645.0258517,631.1194137,453.2670878
650.9634587,638.4803479,459.423724
653.9188511,664.0129381,461.4291614
657.5067874,668.5683311,469.8013581
666.7774699,668.6422728,472.1331129
672.7762807,676.154301,485.6812334
676.5270132,679.75715,486.4942822
682.6300054,683.2764261,489.419953
686.1483494,697.6845081,498.5489654
696.0262035,705.5639668,505.3680743
705.4732485,716.9093683,505.4196471
709.7908679,721.6159587,509.6406452
720.2856284,729.7238705,516.6357023
729.6494112,735.0447783,519.5132177
734.1532313,742.5527676,528.5784372
741.529596,757.7950247,529.2413242
754.6627521,760.6601129,534.010879
759.229433,768.312879,538.4598123
759.6040091,774.5366219,539.6903111
764.9840495,780.2331414,548.9452524
767.48295,781.4847664,554.8843092
779.8258404,789.2226588,556.7015784
786.0415057,793.0548929,563.7175547
790.8733,795.9312692,571.8092076
797.4437615,807.1013437,572.0880945
798.5504026,807.4154409,575.2505032
813.3551191,807.5100946,576.8849892
816.5411395,808.3400237,579.7101033
819.510409,819.6761048,581.5802916
820.5436261,825.0652586,586.7803449
833.8269441,827.8482239,594.3075963
836.4280581,835.3310482,595.9141211
839.4131723,836.7727056,602.6764791
851.7136032,839.9046677,608.8842739
860.8989523,845.777239,616.2534929
866.0623454,851.4084122,625.859813
866.575899,854.8164651,634.4598416
875.007539,865.2456721,
877.3479928,865.3442612,
882.6256126,876.2300638,
885.8389727,879.810751,
889.0544041,886.6540929,
891.5164372,888.2341064,
894.1050205,899.1713783,
901.5326474,905.4489725,
911.7629159,905.5749014,
912.4811038,910.7915243,
914.5176092,913.2196934,
917.297882,921.5083172,
918.7222449,927.0309597,
923.4191007,927.2865455,
927.7249143,927.6537689,
931.0996208,927.8352059,
934.3791557,929.6974201,
947.6618523,935.2759849,
958.7086905,938.3332804,
964.3912295,945.784001,
965.207385,951.6944753,
976.197576,957.3498816,
984.038614,960.9652613,
989.3638713,972.523582,
996.1132844,977.6977453,
999.8355379,985.4470292,
1003.711785,987.3170104,
1006.827799,990.9476135,
1011.94925,991.0883514,
1018.610637,1008.529392,
1022.524995,1008.562221,
1033.963082,1011.848694,
1036.139393,1022.435934,
1045.79304,1024.621566,
1056.156798,1032.94716,
1058.645031,1036.116922,
1073.349709,1036.194488,
1075.275509,1043.267629,
1081.297414,1050.076797,
1093.302388,1055.327905,
1103.36199,1058.841278,
1111.154251,1062.535985,
1116.255094,1069.197165,
1123.708818,1077.353025,
1134.806297,1082.16069,
1142.917523,1085.966723,
1147.002029,1092.614751,
1147.484515,1098.875879,
1150.362962,1104.511713,
1156.515974,1106.319247,
1166.40232,1112.961165,
1169.905958,1126.613674,
1178.445818,1146.05456,
1184.121419,1148.01702,
1189.649343,1168.065078,
1194.586147,1170.145182,
1196.253668,1189.779311,
1198.412789,1190.84225,
1213.042386,1198.634408,
1223.342661,1201.621904,
1232.133343,1209.457246,
1235.563972,1215.939681,
1236.949293,1215.977274,
1246.307897,1218.577455,
1254.108754,1223.056836,
1257.570658,1226.357186,
1262.67554,1234.912891,
1279.473992,1235.740852,
1284.698796,1243.201308,
1295.503304,1246.487367,
1305.632187,1251.573711,
