Resource,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE_Trans_Cost_per_MWyr,Heat_Rate_MMBTU_per_MWh,Fuel,NG_MMBtu_per_MWh,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Start_NG_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster,CCS_Rate
SE_conventional_hydroelectric_1,1,0,0,0,0,1,0,0,0,-1,11123.215,0,0,0,-1,-1,0,0,0,0,0,0,45648,0,0,0,0,0,0,None,0,31.333,0,0,0,0,0,0.083,0.083,0,0.135129141,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,conventional_hydroelectric,0.8,0,1,SE,1,0
SE_hydroelectric_pumped_storage_1,1,0,0,1,0,0,0,0,0,-1,6261.984,0,0,0,-1,-1,0,0,0,0,0,0,39399,0,0,0,0,0,0,None,0,184.176,0,0,0,0,0,1,1,1,0.653,0,0.866,0.866,0,200,0,0,0,0,0,0,0,0,0,0,0,0,hydroelectric_pumped_storage,0.95,0,0,SE,1,0
SE_natural_gas_fired_combined_cycle_1,1,1,0,0,0,0,0,0,0,0,26218.712,0,0,0,-1,-1,0,0,0,0,0,0,9496,0,0,3.504,0,0,0,None,7.275,504.206,89.34,0,2,6,6,0.64,0.64,1,0.41,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,SE,1,0
SE_natural_gas_fired_combined_cycle_2,1,1,0,0,0,0,0,0,0,0,4637.5,0,0,0,-1,-1,0,0,0,0,0,0,16001,0,0,4.415,0,0,0,None,7.735,185.5,89.34,0,2,6,6,0.64,0.64,1,0.586,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,SE,2,0
SE_natural_gas_fired_combined_cycle_3,1,1,0,0,0,0,0,0,0,0,42679.32,0,0,0,-1,-1,0,0,0,0,0,0,11977.294,0,0,3.455,0,0,0,None,6.969,711.322,89.34,0,2,6,6,0.64,0.64,1,0.596,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,SE,3,0
SE_natural_gas_fired_combined_cycle_4,1,1,0,0,0,0,0,0,0,0,6088.5,0,0,0,-1,-1,0,0,0,0,0,0,11733.808,0,0,3.493,0,0,0,None,10.235,507.375,89.34,0,2,6,6,0.64,0.64,1,0.561,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combined_cycle,0.93,0,0,SE,4,0
SE_natural_gas_fired_combustion_turbine_1,1,1,0,0,0,0,0,0,0,0,24934.14,0,0,0,-1,-1,0,0,0,0,0,0,9518.439,0,0,5.071,0,0,0,None,11.133,138.523,115.842,0,3.5,1,1,0.64,0.64,1,0.472,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,0.93,0,0,SE,1,0
SE_natural_gas_fired_combustion_turbine_2,1,1,0,0,0,0,0,0,0,0,683.209,0,0,0,-1,-1,0,0,0,0,0,0,13548,0,0,5.071,0,0,0,None,10.306,22.039,115.842,0,3.5,1,1,0.64,0.64,1,0.326,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,natural_gas_fired_combustion_turbine,0.93,0,0,SE,2,0
SE_nuclear_1,1,1,0,0,0,0,0,0,0,0,33632.288,0,0,0,-1,-1,0,0,0,0,0,0,199087.824,0,0,2.34,0,0,10.456,SE_reference_uranium,0,1051.009,1000,0,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuclear,0.93,0,1,SE,1,0
SE_nuclear_2,1,1,0,0,0,0,0,0,0,0,2228,0,0,0,-1,-1,0,0,0,0,0,0,187522,0,0,2.258,0,0,9.21,SE_reference_uranium,0,1114,1000,0,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nuclear,0.93,0,1,SE,2,0
